Seed,Method,Run,Result
23,Policy Iteration,1, 39.52
23,Policy Iteration,2, 39.26
23,Policy Iteration,3, 67.45
23,Policy Iteration,4, 40.31
23,Policy Iteration,5, 39.78
78,Policy Iteration,1, 13.61
78,Policy Iteration,2, 13.58
78,Policy Iteration,3, 13.38
78,Policy Iteration,4, 13.62
78,Policy Iteration,5, 13.59
124,Policy Iteration,1, 16.85
124,Policy Iteration,2, 17.12
124,Policy Iteration,3, 20.20
124,Policy Iteration,4, 17.56
124,Policy Iteration,5, 17.85
144,Policy Iteration,1, 16.68
144,Policy Iteration,2, 26.06
144,Policy Iteration,3, 16.93 
144,Policy Iteration,4, 17.86
144,Policy Iteration,5, 19.12
148,Policy Iteration,1, 56.26
148,Policy Iteration,2, 26.12
148,Policy Iteration,3, 26.05
148,Policy Iteration,4, 32.12
148,Policy Iteration,5, 30.12
23,Value Iteration,1, 0.15
23,Value Iteration,2, 0.16
23,Value Iteration,3, 0.15
23,Value Iteration,4, 0.17
23,Value Iteration,5, 0.16
78,Value Iteration,1, 0.11
78,Value Iteration,2, 0.12
78,Value Iteration,3, 0.11
78,Value Iteration,4, 0.13
78,Value Iteration,5, 0.11
124,Value Iteration,1, 0.15
124,Value Iteration,2, 0.16
124,Value Iteration,3, 0.15
124,Value Iteration,4, 0.14
124,Value Iteration,5, 0.17
144,Value Iteration,1, 0.12
144,Value Iteration,2, 0.13
144,Value Iteration,3, 0.15
144,Value Iteration,4, 0.14
144,Value Iteration,5, 0.12
148,Value Iteration,1, 0.14
148,Value Iteration,2, 0.16
148,Value Iteration,3, 0.15
148,Value Iteration,4, 0.17
148,Value Iteration,5, 0.19
